field_name,code_value,mapped_value
sic_code,9190,"Executive, Legislative & General Government, Except Finance"
sic_code,9131,"Executive, Legislative & General Government, Except Finance"
sic_code,9121,"Executive, Legislative & General Government, Except Finance"
sic_code,9111,"Executive, Legislative & General Government, Except Finance"
sic_code,8999,"Services, Not Elsewhere Classified"
sic_code,8811,Private Households
sic_code,8748,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8744,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8743,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8742,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8741,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8734,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8733,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8732,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8731,"Engineering, Accounting, Research, Management & Related Svcs"
